age;nationality;gender;Activites_label;Produits;Relation;Pays;isPEP;famCode;VoieDeDistribution;riskLevel (Y)
53;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
29;Tunisie;femme;AUTRES SERVICES;SANTE;Adherent;TUNISIE;FALSE;C;Bureaux directs;RM
24;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
23;Tunisie;femme;SANS ACTIVITES PECUNIAIRES ;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Agences;RM
32;Tunisie;femme;AUTRES SERVICES;SANTE;Adherent;TUNISIE;FALSE;M;Agences;RM
42;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Courtiers;RM
24;Tunisie;femme;AUTRES SERVICES;SANTE;Adherent;TUNISIE;FALSE;C;Agences;RM
69;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Bureaux directs;RM
37;Tunisie;homme;COMPTABILITES AUDITS  GESTIONS ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
31;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
52;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
43;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Agences;RM
70;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
28;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
64;Tunisie;homme;AUTRES SERVICES;Prevoyance;Adherent;TUNISIE;FALSE;C;Courtiers;RM
49;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
61;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
41;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
50;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
68;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
54;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;M;Agences;RM
33;Tunisie;homme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;C;Agences;RM
10;Tunisie;femme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;C;Agences;RM
47;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
27;Tunisie;homme;AUTRES SERVICES;SANTE;Adherent;TUNISIE;FALSE;C;Bureaux directs;RM
11;Tunisie;femme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;C;Agences;RM
38;Tunisie;femme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
50;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
40;Tunisie;homme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
46;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
48;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;M;Agences;RM
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
60;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
29;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
44;Tunisie;femme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;Personnel;TUNISIE;FALSE;C;Agences;RM
69;Tunisie;homme;ARTS COMMUNICATIONS  MULTIMEDIAS ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
19;Tunisie;femme;SANS ACTIVITES PECUNIAIRES ;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
66;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
26;Tunisie;homme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
49;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
28;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;Membre;TUNISIE;FALSE;C;Agences;RM
35;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;Adherent;TUNISIE;FALSE;M;Agences;RM
49;Tunisie;femme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;Adherent;TUNISIE;FALSE;M;Agences;RM
56;Libye;homme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
45;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;Membre;TUNISIE;FALSE;M;Agences;RM
42;Tunisie;homme;AUTRES SERVICES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
37;Tunisie;femme;AUTRES SERVICES;Prevoyance;Adherent;TUNISIE;FALSE;M;Agences;RM
55;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Personnel;TUNISIE;FALSE;M;Agences;RM
64;Tunisie;homme;INDUSTRIES BOIS  AMEUBLEMENTS ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
68;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
66;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
30;Tunisie;femme;AUTRES SERVICES;Epargne;lui-elle-meme;TUNISIE;FALSE;M;Agences;RE
59;Tunisie;femme;AUTRES SERVICES;Prevoyance;Adherent;TUNISIE;FALSE;M;Agences;RM
61;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;SANTE;Adherent;TUNISIE;FALSE;M;Agences;RM
9;Tunisie;femme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
59;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
44;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;Membre;TUNISIE;FALSE;M;Agences;RM
13;Tunisie;homme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
56;Tunisie;femme;MEDECINS PHARMACIENS  AUTRES AUXILIAIRES DE SANTE;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
41;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
40;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
49;Tunisie;femme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
24;Tunisie;homme;ETUDES SCIENTIFIQUES TECHNIQUES CONSEILS ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
36;Tunisie;femme;BANQUES ASSURANCES  ETABLISSEMENTS FINANCIERS;INCENDIE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
32;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
66;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
42;Tunisie;femme;AUTRES SERVICES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RE
36;Tunisie;homme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Agences;RM
33;Tunisie;femme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
50;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
39;Tunisie;femme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
40;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;Membre;TUNISIE;FALSE;M;Agences;RM
53;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Bureaux directs;RM
46;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
31;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;curateur;TUNISIE;FALSE;C;Courtiers;RM
20;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
43;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;Personnel;TUNISIE;FALSE;M;Agences;RM
54;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;curateur;TUNISIE;FALSE;M;Courtiers;RE
52;Tunisie;homme;TRANSPORTS ROUTIERS FERROVIAIRES SERVICES CONNEXES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
30;Tunisie;femme;TRANSPORTS MARITIMES SERVICES CONNEXES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
65;Tunisie;homme;TRANSPORTS ROUTIERS FERROVIAIRES SERVICES CONNEXES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
40;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
35;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
27;Tunisie;homme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
72;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
24;Tunisie;homme;BANQUES ASSURANCES  ETABLISSEMENTS FINANCIERS;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RF
40;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
36;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Membre;TUNISIE;FALSE;M;Agences;RM
38;Tunisie;femme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
45;Tunisie;femme;ENSEIGNEMENTS  ACTIVITES CULTURELLES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
62;Tunisie;homme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
64;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
38;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
59;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
22;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
56;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
32;Tunisie;homme;SERVICES  MATERIELS INFORMATIQUES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
39;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
58;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
44;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Agences;RM
52;Tunisie;femme;AUTRES INDUSTRIES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
36;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
74;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
37;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
65;France;femme;SANS ACTIVITES PECUNIAIRES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
29;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
30;Tunisie;homme;MEDECINS PHARMACIENS  AUTRES AUXILIAIRES DE SANTE;Prevoyance;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
66;Tunisie;femme;AUTRES INDUSTRIES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
31;Tunisie;homme;BANQUES ASSURANCES  ETABLISSEMENTS FINANCIERS;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Bureaux directs;RF
30;Tunisie;homme;COMMERCES NEGOCES DISTRIBUTIONS  LIVRAISON;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
43;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
47;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
34;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
38;Tunisie;homme;ARTISANATS ;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
40;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
25;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
34;Tunisie;femme;SANS ACTIVITES PECUNIAIRES ;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
29;Tunisie;homme;SANS ACTIVITES PECUNIAIRES ;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
21;Tunisie;homme;SANS ACTIVITES PECUNIAIRES ;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
27;Tunisie;femme;SANS ACTIVITES PECUNIAIRES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
49;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
36;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
50;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
0;Libye;homme;SANS ACTIVITES PECUNIAIRES ;Autres risques;Adherent;LYBIE;FALSE;C;Agences;RE
2;Libye;homme;SANS ACTIVITES PECUNIAIRES ;Autres risques;Adherent;LYBIE;FALSE;C;Agences;RE
31;Libye;femme;SANS ACTIVITES PECUNIAIRES ;Autres risques;Adherent;LYBIE;FALSE;M;Agences;RE
33;Libye;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;LYBIE;FALSE;M;Agences;RM
47;Tunisie;homme;AUTRES SERVICES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
52;Tunisie;homme;AUTRES SERVICES;Prevoyance;Adherent;TUNISIE;FALSE;M;Courtiers;RM
26;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
33;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
31;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Courtiers;RM
64;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
61;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Bureaux directs;RM
43;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
40;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
36;Tunisie;femme;SANS ACTIVITES PECUNIAIRES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
29;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
32;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Adherent;TUNISIE;FALSE;C;Agences;RM
42;Tunisie;homme;AUTRES SERVICES;Epargne;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
22;Tunisie;homme;ENSEIGNEMENTS  ACTIVITES CULTURELLES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RF
46;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;curateur;TUNISIE;FALSE;M;Courtiers;RM
28;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
31;Tunisie;homme;AUTRES SERVICES;Autres risques;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
67;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
38;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
36;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
40;Tunisie;homme;AGRICULTURES ELEVAGES  CHASSE;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
54;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;Membre;TUNISIE;FALSE;M;Agences;RM
59;Tunisie;femme;ARTS COMMUNICATIONS  MULTIMEDIAS ;Prevoyance;Adherent;TUNISIE;FALSE;M;Agences;RM
65;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Courtiers;RM
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
46;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
54;Tunisie;homme;TRANSPORTS ROUTIERS FERROVIAIRES SERVICES CONNEXES ;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
21;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
38;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;Membre;TUNISIE;FALSE;M;Agences;RM
28;Tunisie;homme;ENSEIGNEMENTS  ACTIVITES CULTURELLES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RF
46;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Prevoyance;Membre;TUNISIE;FALSE;M;Agences;RM
28;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
32;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RM
56;Tunisie;homme;AUTRES SERVICES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
69;Tunisie;homme;AUTRES SERVICES;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
51;Tunisie;homme;COMPTABILITES AUDITS  GESTIONS ;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
37;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
36;Tunisie;homme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;AUTOMOBILE;lui-elle-meme;TUNISIE;FALSE;C;Bureaux directs;RF
22;Gabon;femme;SANS ACTIVITES PECUNIAIRES ;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
28;Tunisie;homme;AUTRES INDUSTRIES;AUTOMOBILE;Membre;TUNISIE;FALSE;M;Agences;RM
33;Tunisie;homme;AUTRES SERVICES;SANTE;Adherent;TUNISIE;FALSE;C;Agences;RM
42;Tunisie;homme;AUTRES INDUSTRIES;INCENDIE;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
24;Tunisie;femme;ENSEIGNEMENTS  ACTIVITES CULTURELLES;Autres risques;lui-elle-meme;TUNISIE;FALSE;C;Agences;RM
29;Tunisie;homme;BANQUES ASSURANCES  ETABLISSEMENTS FINANCIERS;SANTE;Adherent;TUNISIE;FALSE;C;Bureaux directs;RF
36;Tunisie;femme;ADMINISTRATIONS  FONCTIONS PUBLIQUES;Autres risques;Adherent;TUNISIE;FALSE;M;Agences;RM
26;Tunisie;femme;BANQUES ASSURANCES  ETABLISSEMENTS FINANCIERS;Prevoyance;lui-elle-meme;TUNISIE;FALSE;M;Agences;RM
26;Tunisie;homme;AUTRES SERVICES;Epargne;lui-elle-meme;TUNISIE;FALSE;C;Agences;RE
